Date,Time,Item Code,Quantity Sold (kilo),Unit Selling Price (RMB/kg),Sale or Return,Discount (Yes/No)
2020-07-08,17:18:28.951,102900005115793,0.369,16.0,sale,No
2020-07-08,17:35:02.706,102900005115793,0.35,16.0,sale,No
2020-07-08,17:54:30.584,102900005115793,0.732,16.0,sale,No
2020-07-08,18:02:15.791,102900005115793,0.369,16.0,sale,No
2020-07-08,18:18:05.348,102900005115793,0.263,16.0,sale,No
2020-07-08,18:25:53.682,102900005115793,0.35,16.0,sale,No
2020-07-08,19:07:25.094,102900005115793,0.707,16.0,sale,No
2020-07-08,19:31:44.655,102900005115793,0.413,16.0,sale,No
2020-07-08,19:52:41.436,102900005115793,0.357,16.0,sale,No
2020-07-09,09:18:25.979,102900005115793,0.382,16.0,sale,No
2020-07-09,09:56:20.717,102900005115793,0.407,16.0,sale,No
2020-07-09,14:59:04.405,102900005115793,0.807,16.0,sale,No
2020-07-09,17:40:04.076,102900005115793,0.726,16.0,sale,No
2020-07-09,17:48:34.168,102900005115793,0.338,16.0,sale,No
2020-07-09,18:33:29.642,102900005115793,0.357,16.0,sale,No
2020-07-09,19:23:50.883,102900005115793,0.394,16.0,sale,No
2020-07-09,20:41:46.514,102900005115793,0.35,16.0,sale,No
2020-07-10,09:37:36.451,102900005115793,0.782,16.0,sale,No
2020-07-10,09:37:50.647,102900005115793,0.325,16.0,sale,No
2020-07-10,10:51:26.436,102900005115793,0.651,16.0,sale,No
2020-07-10,10:53:07.608,102900005115793,0.319,16.0,sale,No
2020-07-10,11:00:02.014,102900005115793,1.026,16.0,sale,No
2020-07-10,13:23:45.451,102900005115793,0.35,16.0,sale,No
2020-07-10,13:34:44.233,102900005115793,0.407,16.0,sale,No
2020-07-10,13:58:59.326,102900005115793,0.488,16.0,sale,No
2020-07-10,14:25:40.825,102900005115793,0.369,16.0,sale,No
2020-07-10,14:29:11.795,102900005115793,0.338,16.0,sale,No
2020-07-10,15:21:57.640,102900005115793,0.363,16.0,sale,No
2020-07-10,16:53:48.309,102900005115793,0.369,16.0,sale,No
2020-07-10,17:03:44.982,102900005115793,0.382,14.7,sale,Yes
2020-07-10,18:12:29.686,102900005115793,0.344,16.0,sale,No
2020-07-10,20:07:19.483,102900005115793,0.983,16.0,sale,No
2020-07-10,20:16:43.289,102900005115793,0.332,14.4,sale,Yes
2020-07-11,09:35:48.178,102900005115793,0.363,16.0,sale,No
2020-07-11,09:42:53.562,102900005115793,0.363,16.0,sale,No
2020-07-11,10:41:28.671,102900005115793,0.344,16.0,sale,No
2020-07-11,10:47:05.164,102900005115793,0.72,16.0,sale,No
2020-07-11,11:05:42.878,102900005115793,0.319,16.0,sale,No
2020-07-11,13:57:54.765,102900005115793,0.282,15.4,sale,Yes
2020-07-11,14:22:57.332,102900005115793,0.67,16.0,sale,No
2020-07-11,16:16:24.071,102900005115793,0.632,16.0,sale,No
2020-07-11,16:33:37.373,102900005115793,0.394,16.0,sale,No
2020-07-11,17:16:24.046,102900005115793,0.626,14.7,sale,Yes
2020-07-11,17:34:29.343,102900005115793,0.426,16.0,sale,No
2020-07-11,18:32:17.359,102900005115793,0.313,14.9,sale,Yes
2020-07-11,18:39:33.447,102900005115793,0.288,16.0,sale,No
2020-07-11,18:51:01.642,102900005115793,0.332,16.0,sale,No
2020-07-11,19:11:20.414,102900005115793,0.701,16.0,sale,No
2020-07-11,20:10:52.434,102900005115793,0.357,16.0,sale,No
2020-07-11,20:38:28.576,102900005115793,0.3,16.0,sale,No
2020-07-11,21:32:45.123,102900005115793,0.313,14.6,sale,Yes
2020-07-12,09:11:50.764,102900005115793,0.745,16.0,sale,No
2020-07-12,10:28:31.329,102900005115793,0.325,16.0,sale,No
2020-07-12,10:52:32.550,102900005115793,0.382,16.0,sale,No
2020-07-12,11:00:48.123,102900005115793,0.357,16.0,sale,No
2020-07-12,11:01:07.489,102900005115793,0.413,16.0,sale,No
2020-07-12,11:03:35.145,102900005115793,0.376,16.0,sale,No
2020-07-12,11:25:30.772,102900005115793,0.376,16.0,sale,No
2020-07-12,13:49:18.634,102900005115793,0.363,16.0,sale,No
2020-07-12,13:56:06.483,102900005115793,0.382,16.0,sale,No
2020-07-12,14:35:06.108,102900005115793,0.332,0.9,sale,Yes
2020-07-12,14:57:37.283,102900005115793,0.319,16.0,sale,No
2020-07-12,17:01:47.951,102900005115793,0.713,16.0,sale,No
2020-07-12,17:02:51.030,102900005115793,0.3,16.0,sale,No
2020-07-12,17:06:03.767,102900005115793,0.357,16.0,sale,No
2020-07-12,18:09:52.818,102900005115793,0.407,16.0,sale,No
2020-07-12,19:41:29.217,102900005115793,0.363,16.0,sale,No
2020-07-12,19:51:25.420,102900005115793,0.319,13.9,sale,Yes
2020-07-13,10:17:36.478,102900005115793,0.344,16.0,sale,No
2020-07-13,13:38:57.549,102900005115793,0.35,16.0,sale,No
2020-07-13,16:35:12.905,102900005115793,0.344,16.0,sale,No
2020-07-13,16:41:18.430,102900005115793,0.407,16.0,sale,No
2020-07-13,16:58:16.420,102900005115793,0.382,16.0,sale,No
2020-07-13,18:03:47.858,102900005115793,0.376,16.0,sale,No
2020-07-13,18:36:00.672,102900005115793,0.332,16.0,sale,No
2020-07-13,18:43:34.369,102900005115793,0.325,16.0,sale,No
2020-07-13,18:57:53.244,102900005115793,0.745,16.0,sale,No
2020-07-14,14:46:31.358,102900005115793,0.413,16.0,sale,No
2020-07-14,15:40:09.616,102900005115793,0.307,16.0,sale,No
2020-07-14,15:40:46.389,102900005115793,0.839,16.0,sale,No
2020-07-14,16:14:47.326,102900005115793,0.269,16.0,sale,No
2020-07-14,16:18:51.856,102900005115793,0.338,16.0,sale,No
2020-07-14,16:48:12.502,102900005115793,0.419,16.0,sale,No
2020-07-14,16:53:33.566,102900005115793,0.238,16.0,sale,No
2020-07-14,17:14:54.605,102900005115793,0.413,16.0,sale,No
2020-07-14,17:56:00.296,102900005115793,0.544,16.0,sale,No
2020-07-14,20:16:12.689,102900005115793,0.332,16.0,sale,No
2020-07-14,20:17:22.937,102900005115793,0.275,16.0,sale,No
2020-07-14,21:17:02.248,102900005115793,0.244,16.0,sale,No
2020-07-16,09:15:38.795,102900005115793,0.4,18.0,sale,No
2020-07-16,09:26:30.385,102900005115793,0.334,18.0,sale,No
2020-07-16,12:24:20.955,102900005115793,0.384,18.0,sale,No
2020-07-16,12:28:45.045,102900005115793,0.334,18.0,sale,No
2020-07-16,12:44:55.715,102900005115793,0.317,18.0,sale,No
2020-07-16,14:49:53.201,102900005115793,0.684,16.3,sale,Yes
2020-07-16,14:52:38.612,102900005115793,0.662,18.0,sale,No
2020-07-16,14:52:38.664,102900005115793,1.035,18.0,sale,No
2020-07-16,17:08:38.866,102900005115793,0.312,18.0,sale,No
2020-07-16,17:53:09.076,102900005115793,0.295,16.5,sale,Yes
2020-07-16,18:16:57.551,102900005115793,0.629,18.0,sale,No
2020-07-16,18:38:56.304,102900005115793,0.606,18.0,sale,No
2020-07-16,19:55:50.248,102900005115793,0.339,18.0,sale,No
2020-07-16,20:24:56.239,102900005115793,0.306,18.0,sale,No
2020-07-17,15:15:05.800,102900005115793,0.384,18.0,sale,No
2020-07-17,15:41:47.155,102900005115793,0.339,18.0,sale,No
2020-07-17,16:18:32.551,102900005115793,0.295,18.0,sale,No
2020-07-17,17:25:07.033,102900005115793,0.373,18.0,sale,No
2020-07-17,17:52:02.248,102900005115793,0.339,18.0,sale,No
2020-07-17,18:37:14.023,102900005115793,0.3,18.0,sale,No
2020-07-17,18:57:44.498,102900005115793,0.384,18.0,sale,No
2020-07-17,19:18:08.252,102900005115793,0.656,18.0,sale,No
2020-07-17,19:41:33.901,102900005115793,0.701,16.8,sale,Yes
2020-07-17,20:54:29.523,102900005115793,0.3,18.0,sale,No
2020-07-18,09:41:44.700,102900005115793,0.323,18.0,sale,No
2020-07-18,09:54:13.809,102900005115793,0.406,18.0,sale,No
2020-07-18,09:58:27.786,102900005115793,0.4,18.0,sale,No
2020-07-18,10:32:13.576,102900005115793,0.801,18.0,sale,No
2020-07-18,10:45:43.592,102900005115793,0.445,18.0,sale,No
2020-07-18,11:05:16.632,102900005115793,0.328,18.0,sale,No
2020-07-18,11:19:31.446,102900005115793,0.679,18.0,sale,No
2020-07-18,11:29:15.225,102900005115793,0.295,18.0,sale,No
2020-07-18,11:41:02.745,102900005115793,0.395,18.0,sale,No
2020-07-18,13:23:02.436,102900005115793,0.768,18.0,sale,No
2020-07-18,14:12:56.420,102900005115793,0.629,18.0,sale,No
2020-07-18,15:57:21.235,102900005115793,0.328,18.0,sale,No
2020-07-18,16:30:35.280,102900005115793,0.384,18.0,sale,No
2020-07-18,17:02:32.161,102900005115793,0.284,18.0,sale,No
2020-07-18,17:12:23.644,102900005115793,0.701,18.0,sale,No
2020-07-18,17:19:01.755,102900005115793,0.662,18.0,sale,No
2020-07-18,17:20:54.005,102900005115793,0.35,18.0,sale,No
2020-07-18,17:43:02.199,102900005115793,0.712,18.0,sale,No
2020-07-18,17:50:03.991,102900005115793,0.695,18.0,sale,No
2020-07-18,18:14:26.401,102900005115793,0.306,18.0,sale,No
2020-07-18,18:20:46.764,102900005115793,0.323,18.0,sale,No
2020-07-18,20:05:43.717,102900005115793,0.334,18.0,sale,No
2020-07-19,09:30:04.170,102900005115793,0.688,16.0,sale,No
2020-07-19,09:30:06.486,102900005115793,0.67,16.0,sale,No
2020-07-19,09:51:35.608,102900005115793,0.344,16.0,sale,No
2020-07-19,10:12:21.763,102900005115793,1.076,16.0,sale,No
2020-07-19,10:39:40.983,102900005115793,0.338,14.9,sale,Yes
2020-07-19,11:54:58.889,102900005115793,1.177,16.0,sale,No
2020-07-19,13:59:11.268,102900005115793,0.638,16.0,sale,No
2020-07-19,15:51:10.651,102900005115793,0.307,16.0,sale,No
2020-07-19,17:31:50.847,102900005115793,0.376,14.9,sale,Yes
2020-07-19,17:51:04.569,102900005115793,0.651,16.0,sale,No
2020-07-19,18:32:59.243,102900005115793,0.338,16.0,sale,No
2020-07-19,18:58:13.092,102900005115793,0.357,16.0,sale,No
2020-07-20,11:48:52.264,102900005115793,0.344,4.9,sale,Yes
2020-07-20,13:30:31.592,102900005115793,0.701,16.0,sale,No
2020-07-20,13:38:11.701,102900005115793,0.307,16.0,sale,No
2020-07-20,14:27:18.686,102900005115793,0.282,16.0,sale,No
2020-07-20,17:14:52.049,102900005115793,0.313,16.0,sale,No
2020-07-20,17:28:50.908,102900005115793,0.357,16.0,sale,No
2020-07-20,17:36:49.441,102900005115793,0.732,16.0,sale,No
2020-07-20,17:57:18.389,102900005115793,0.325,16.0,sale,No
2020-07-20,18:14:07.143,102900005115793,0.288,16.0,sale,No
2020-07-20,18:20:40.920,102900005115793,0.394,14.9,sale,Yes
2020-07-20,19:42:08.016,102900005115793,0.657,16.0,sale,No
2020-07-20,19:47:59.539,102900005115793,0.35,16.0,sale,No
2020-07-20,19:48:49.802,102900005115793,0.363,16.0,sale,No
2020-07-20,19:56:07.231,102900005115793,0.338,16.0,sale,No
2020-07-21,09:33:19.453,102900005115793,0.92,16.0,sale,No
2020-07-21,09:56:55.953,102900005115793,0.795,16.0,sale,No
2020-07-21,10:06:57.296,102900005115793,0.807,16.0,sale,No
2020-07-21,10:13:09.187,102900005115793,0.839,16.0,sale,No
2020-07-21,10:47:07.663,102900005115793,0.388,16.0,sale,No
2020-07-21,10:50:20.930,102900005115793,0.382,16.0,sale,No
2020-07-21,11:14:14.619,102900005115793,0.369,16.0,sale,No
2020-07-21,12:52:02.860,102900005115793,0.35,16.0,sale,No
2020-07-21,13:00:46.567,102900005115793,0.35,16.0,sale,No
2020-07-21,14:50:07.512,102900005115793,0.426,16.0,sale,No
2020-07-21,14:56:35.656,102900005115793,0.376,16.0,sale,No
2020-07-21,18:08:54.975,102900005115793,0.363,16.0,sale,No
2020-07-21,18:51:13.890,102900005115793,0.363,16.0,sale,No
2020-07-21,19:09:39.950,102900005115793,0.751,16.0,sale,No
2020-07-21,19:31:15.671,102900005115793,0.325,16.0,sale,No
2020-07-22,09:17:56.123,102900005115793,0.732,16.0,sale,No
2020-07-22,09:39:56.514,102900005115793,0.382,14.3,sale,Yes
2020-07-22,09:43:31.668,102900005115793,0.426,16.0,sale,No
2020-07-22,09:51:44.280,102900005115793,0.426,16.0,sale,No
2020-07-22,10:27:57.889,102900005115793,0.419,16.0,sale,No
2020-07-22,11:24:35.451,102900005115793,0.413,16.0,sale,No
2020-07-22,11:46:55.111,102900005115793,0.363,14.7,sale,Yes
2020-07-22,13:00:29.186,102900005115793,0.469,16.0,sale,No
2020-07-22,14:30:27.451,102900005115793,0.401,16.0,sale,No
2020-07-22,16:36:26.080,102900005115793,0.35,16.0,sale,No
2020-07-22,16:37:28.379,102900005115793,0.363,16.0,sale,No
2020-07-22,16:47:45.420,102900005115793,0.632,16.0,sale,No
2020-07-22,17:09:17.295,102900005115793,0.432,16.0,sale,No
2020-07-22,17:31:17.155,102900005115793,0.476,16.0,sale,No
2020-07-22,17:32:13.313,102900005115793,0.338,16.0,sale,No
2020-07-22,17:45:39.092,102900005115793,0.438,16.0,sale,No
2020-07-22,18:16:57.630,102900005115793,0.394,16.0,sale,No
2020-07-22,20:28:59.498,102900005115793,0.476,16.0,sale,No
2020-07-23,09:27:16.545,102900005115793,0.357,16.0,sale,No
2020-07-23,09:28:20.665,102900005115793,0.319,16.0,sale,No
2020-07-23,09:43:01.986,102900005115793,0.726,16.0,sale,No
2020-07-23,10:01:00.920,102900005115793,0.332,13.9,sale,Yes
2020-07-23,10:26:55.858,102900005115793,0.376,16.0,sale,No
2020-07-23,10:53:05.285,102900005115793,0.388,16.0,sale,No
2020-07-23,11:59:50.845,102900005115793,0.294,3.9,sale,Yes
2020-07-23,12:31:46.967,102900005115793,0.319,13.7,sale,Yes
2020-07-23,13:31:11.764,102900005115793,0.663,16.0,sale,No
2020-07-23,14:05:16.939,102900005115793,0.62,16.0,sale,No
2020-07-23,15:02:12.987,102900005115793,0.607,16.0,sale,No
2020-07-23,16:56:47.889,102900005115793,0.313,16.0,sale,No
2020-07-23,17:04:05.771,102900005115793,0.307,16.0,sale,No
2020-07-23,17:15:15.369,102900005115793,0.325,16.0,sale,No
2020-07-23,17:46:50.264,102900005115793,0.307,16.0,sale,No
2020-07-23,17:50:12.092,102900005115793,0.3,16.0,sale,No
2020-07-23,19:36:31.845,102900005115793,0.288,16.0,sale,No
2020-07-24,11:12:08.248,102900005115793,0.363,16.0,sale,No
2020-07-24,11:27:37.155,102900005115793,0.3,16.0,sale,No
2020-07-24,12:41:55.561,102900005115793,0.388,16.0,sale,No
2020-07-24,12:44:54.576,102900005115793,0.62,13.9,sale,Yes
2020-07-24,16:38:52.842,102900005115793,0.695,16.0,sale,No
2020-07-24,17:42:45.297,102900005115793,0.319,16.0,sale,No
2020-07-24,17:59:14.280,102900005115793,0.307,16.0,sale,No
2020-07-24,18:11:59.442,102900005115793,0.401,16.0,sale,No
2020-07-24,19:08:00.358,102900005115793,0.376,16.0,sale,No
2020-07-24,19:28:21.370,102900005115793,0.269,16.0,sale,No
2020-07-24,19:46:32.597,102900005115793,0.313,16.0,sale,No
2020-07-24,19:47:07.498,102900005115793,0.376,16.0,sale,No
2020-07-24,20:20:40.881,102900005115793,0.663,16.0,sale,No
2020-07-25,09:13:57.832,102900005115793,0.701,16.0,sale,No
2020-07-25,09:37:18.930,102900005115793,0.72,14.7,sale,Yes
2020-07-25,09:38:39.076,102900005115793,0.344,16.0,sale,No
2020-07-25,10:09:18.139,102900005115793,0.357,16.0,sale,No
2020-07-25,10:54:14.642,102900005115793,0.732,16.0,sale,No
2020-07-25,11:20:44.701,102900005115793,0.732,16.0,sale,No
2020-07-25,11:21:52.530,102900005115793,0.394,16.0,sale,No
2020-07-25,11:30:25.705,102900005115793,0.357,14.0,sale,Yes
2020-07-25,11:33:32.671,102900005115793,0.657,16.0,sale,No
2020-07-25,11:34:21.561,102900005115793,0.394,16.0,sale,No
2020-07-25,12:02:32.451,102900005115793,0.275,16.0,sale,No
2020-07-25,13:52:04.066,102900005115793,0.344,16.0,sale,No
2020-07-25,13:57:19.966,102900005115793,0.325,16.0,sale,No
2020-07-25,16:52:17.761,102900005115793,0.307,16.0,sale,No
2020-07-25,17:04:31.946,102900005115793,0.319,16.0,sale,No
2020-07-25,17:37:01.092,102900005115793,0.288,16.0,sale,No
2020-07-25,18:00:41.467,102900005115793,0.294,16.0,sale,No
2020-07-25,19:42:48.561,102900005115793,0.695,16.0,sale,No
2020-07-26,09:45:02.795,102900005115793,0.388,16.0,sale,No
2020-07-26,10:48:16.701,102900005115793,0.407,16.0,sale,No
2020-07-26,10:53:17.530,102900005115793,0.607,16.0,sale,No
2020-07-26,11:40:04.104,102900005115793,0.282,16.0,sale,No
2020-07-26,12:08:10.498,102900005115793,0.35,16.0,sale,No
2020-07-26,15:46:18.983,102900005115793,0.582,16.0,sale,No
2020-07-26,15:58:45.545,102900005115793,0.645,16.0,sale,No
2020-07-26,16:28:54.154,102900005115793,0.601,16.0,sale,No
2020-07-26,17:57:54.060,102900005115793,0.651,16.0,sale,No
2020-07-26,17:58:29.030,102900005115793,0.782,16.0,sale,No
2020-07-26,18:46:56.483,102900005115793,0.707,16.0,sale,No
2020-07-26,19:14:30.717,102900005115793,0.682,16.0,sale,No
2020-07-26,19:42:36.314,102900005115793,0.363,16.0,sale,No
2020-07-26,19:53:43.902,102900005115793,0.338,16.0,sale,No
2020-07-26,20:18:48.014,102900005115793,0.67,16.0,sale,No
2020-07-27,10:02:41.717,102900005115793,0.713,16.0,sale,No
2020-07-27,10:43:30.358,102900005115793,0.72,16.0,sale,No
2020-07-27,16:46:02.750,102900005115793,0.313,16.0,sale,No
2020-07-27,16:50:34.556,102900005115793,0.707,16.0,sale,No
2020-07-27,18:11:51.014,102900005115793,0.363,16.0,sale,No
2020-07-27,18:37:34.122,102900005115793,0.344,16.0,sale,No
2020-07-27,19:35:59.967,102900005115793,0.338,16.0,sale,No
2020-07-28,09:38:26.795,102900005115793,0.325,16.0,sale,No
2020-07-28,09:42:13.983,102900005115793,0.3,16.0,sale,No
2020-07-28,10:51:48.698,102900005115793,0.588,16.0,sale,No
2020-07-28,11:19:39.123,102900005115793,0.269,16.0,sale,No
2020-07-28,11:31:44.155,102900005115793,0.426,16.0,sale,No
2020-07-28,12:13:54.139,102900005115793,0.319,16.0,sale,No
2020-07-28,12:37:45.933,102900005115793,0.369,16.0,sale,No
2020-07-28,13:48:26.465,102900005115793,0.407,16.0,sale,No
2020-07-28,14:42:04.701,102900005115793,0.72,16.0,sale,No
2020-07-28,14:59:15.764,102900005115793,0.275,16.0,sale,No
2020-07-28,15:27:36.888,102900005115793,0.338,16.0,sale,No
2020-07-28,16:15:32.817,102900005115793,0.325,16.0,sale,No
2020-07-28,16:57:49.341,102900005115793,0.3,16.0,sale,No
2020-07-28,17:27:58.342,102900005115793,0.695,16.0,sale,No
2020-07-28,17:54:23.741,102900005115793,0.782,16.0,sale,No
2020-07-28,17:56:39.697,102900005115793,0.426,16.0,sale,No
2020-07-28,18:04:45.655,102900005115793,0.857,16.0,sale,No
2020-07-28,18:19:13.292,102900005115793,0.507,16.0,sale,No
2020-07-28,18:31:08.998,102900005115793,0.288,16.0,sale,No
2020-07-29,09:23:51.914,102900005115793,0.369,16.0,sale,No
2020-07-29,09:38:52.139,102900005115793,0.35,16.0,sale,No
2020-07-29,10:06:16.703,102900005115793,0.357,16.0,sale,No
2020-07-29,10:15:14.859,102900005115793,0.307,16.0,sale,No
2020-07-29,10:24:56.139,102900005115793,0.382,16.0,sale,No
2020-07-29,10:36:23.154,102900005115793,0.338,16.0,sale,No
2020-07-29,11:29:08.614,102900005115793,0.707,16.0,sale,No
2020-07-29,11:34:49.262,102900005115793,0.313,16.0,sale,No
2020-07-29,11:54:33.090,102900005115793,0.676,16.0,sale,No
2020-07-29,12:44:43.062,102900005115793,0.426,16.0,sale,No
2020-07-29,13:14:00.234,102900005115793,0.663,16.0,sale,No
2020-07-29,14:00:05.159,102900005115793,0.288,16.0,sale,No
2020-07-29,15:50:02.576,102900005115793,0.77,16.0,sale,No
2020-07-29,18:22:22.932,102900005115793,0.313,16.0,sale,No
2020-07-29,18:26:28.358,102900005115793,0.294,16.0,sale,No
2020-07-29,18:45:44.375,102900005115793,0.307,16.0,sale,No
2020-07-29,19:11:07.723,102900005115793,0.407,16.0,sale,No
2020-07-29,20:59:23.558,102900005115793,0.288,16.0,sale,No
2020-07-30,10:14:12.176,102900005115793,0.363,16.0,sale,No
2020-07-30,10:55:35.598,102900005115793,0.325,16.0,sale,No
2020-07-30,14:14:00.377,102900005115793,0.338,16.0,sale,No
2020-07-30,15:26:16.527,102900005115793,0.613,16.0,sale,No
2020-07-30,15:33:47.764,102900005115793,0.319,16.0,sale,No
2020-07-30,15:43:29.451,102900005115793,0.732,16.0,sale,No
2020-07-30,17:11:38.958,102900005115793,0.307,16.0,sale,No
2020-07-30,17:56:18.890,102900005115793,0.338,16.0,sale,No
2020-07-30,17:56:58.223,102900005115793,0.288,16.0,sale,No
2020-07-30,18:25:09.658,102900005115793,0.601,16.0,sale,No
2020-07-30,18:48:37.794,102900005115793,0.307,16.0,sale,No
2020-07-30,19:16:02.639,102900005115793,0.319,16.0,sale,No
2020-07-30,19:40:24.181,102900005115793,0.3,16.0,sale,No
2020-07-30,20:01:00.975,102900005115793,0.588,7.5,sale,Yes
2020-07-30,20:08:27.576,102900005115793,0.325,16.0,sale,No
2020-07-30,20:21:18.253,102900005115793,0.338,14.4,sale,Yes
2020-07-30,20:22:27.686,102900005115793,0.62,16.0,sale,No
2020-07-31,09:37:16.170,102900005115793,0.77,16.0,sale,No
2020-07-31,09:49:43.340,102900005115793,0.77,16.0,sale,No
2020-07-31,10:15:55.983,102900005115793,0.319,16.0,sale,No
2020-07-31,12:25:37.606,102900005115793,0.732,16.0,sale,No
2020-07-31,12:34:25.076,102900005115793,0.369,16.0,sale,No
2020-07-31,13:43:50.436,102900005115793,0.394,16.0,sale,No
2020-07-31,14:16:23.817,102900005115793,0.401,16.0,sale,No
2020-07-31,14:22:19.655,102900005115793,0.338,16.0,sale,No
2020-07-31,14:30:08.498,102900005115793,0.638,16.0,sale,No
2020-07-31,15:33:05.295,102900005115793,0.676,16.0,sale,No
2020-07-31,15:50:37.458,102900005115793,0.695,16.0,sale,No
2020-07-31,17:30:08.030,102900005115793,0.294,16.0,sale,No
